,first_name,last_name,amount,margin,difference,type,rq
22,Avery 52,Carlos Soltero,1412,26.92,3.69,Labels,0.38
33,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,2532,140.01,7.31,Labels,0.38
44,Avery 49,Aaron Bergman,4132,1.32,2.88,Labels,0.36
47,Avery 510,Annie Cyprus,4676,85.96,3.75,Labels,0.37
89,Avery 506,Alan Barnes,9763,75.13,4.13,Labels,0.39
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,4.43,6.64,Office Furnishings,0.37
16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,782.91,39.89,Office Furnishings,0.53
54,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Frank Price,5569,-0.06,9.65,Office Furnishings,0.55
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,5925,-354.9,92.23,Office Furnishings,0.67
71,12-1/2 Diameter Round Wall Clock,Dorothy Wardle,6982,52.56,19.98,Office Furnishings,0.49
81,Luxo Professional Combination Clamp-On Lamps,Beth Paige,8995,737.94,102.3,Office Furnishings,0.59
96,"Linden® 12"" Wall Clock With Oak Frame",Doug Bickford,10535,-44.14,33.98,Office Furnishings,0.55
10,Xerox 198,Dorothy Badders,678,-226.36,4.98,Paper,0.38
11,Xerox 1980,Neola Schneider,807,-166.85,4.28,Paper,0.4
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,2277,33.67,40.99,Paper,0.36
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,2791,118.94,30.98,Paper,0.4
42,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,3524,52.35,18.97,Paper,0.37
48,Xerox 1881,Annie Cyprus,4676,-8.38,12.28,Paper,0.38
52,Unpadded Memo Slips,Don Jones,5409,-7.04,3.98,Paper,0.35
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,5506,4.41,5.88,Paper,0.36
60,Personal Creations™ Ink Jet Cards and Labels,Skye Norling,6016,3.63,11.48,Paper,0.36
62,Xerox 1966,Grant Carroll,6182,-116.79,6.48,Paper,0.36
63,Xerox 213,Grant Carroll,6182,-67.28,6.48,Paper,0.37
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,6884,-61.21,4.98,Paper,0.36
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,6884,119.09,6.35,Paper,0.39
76,Xerox 1936,Nicole Hansen,8419,70.39,19.98,Paper,0.38
77,Xerox 214,Nicole Hansen,8419,-86.62,6.48,Paper,0.37
80,Xerox 1904,Beth Paige,8995,-78.02,6.48,Paper,0.36
82,Xerox 217,Beth Paige,8995,-191.28,6.48,Paper,0.37
87,Xerox 1887,Joy Bell,9509,2.13,18.97,Paper,0.37
88,Xerox 1891,Joy Bell,9509,707.15,48.91,Paper,0.38
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,10022,-3.88,10.14,Paper,0.36
99,Xerox Blank Computer Paper,Anthony Johnson,10791,93.36,19.98,Paper,0.38
26,Newell 335,Don Miller,1540,5.76,2.88,Pens & Art Supplies,0.56
27,SANFORD Liquid Accent™ Tank-Style Highlighters,Annie Cyprus,1702,4.9,2.84,Pens & Art Supplies,0.54
30,Col-Erase® Pencils with Erasers,Grant Carroll,2275,41.67,6.08,Pens & Art Supplies,0.56
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,6535,-19.33,28.15,Pens & Art Supplies,0.57
97,Newell 326,Doug Bickford,10535,-0.79,1.76,Pens & Art Supplies,0.56
98,Prismacolor Color Pencil Set,Jamie Kunitz,10789,76.42,19.84,Pens & Art Supplies,0.44
12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,-14.33,3.95,Rubber Bands,0.53
23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,-5.77,4.71,Rubber Bands,0.8
83,Revere Boxed Rubber Bands by Revere,Beth Paige,8995,-21.49,1.89,Rubber Bands,0.83
61,High Speed Automatic Electric Letter Opener,Barry Weirich,6116,-1759.58,1637.53,"Scissors, Rulers and Trimmers",0.81
1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,3,-213.25,38.94,Storage & Organization,0.8
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,127.7,42.76,Storage & Organization,
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,-695.26,138.14,Storage & Organization,
29,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,1792,-5.45,13.48,Storage & Organization,0.59
67,Crate-A-Files™,Andrew Gjertsen,6916,-141.27,10.9,Storage & Organization,0.59
78,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,8833,-846.73,80.98,Storage & Organization,0.81
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,9127,-329.49,279.48,Storage & Organization,0.8
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,-481.04,71.37,Tables,0.68
95,Bevis Boat-Shaped Conference Table,Doug Bickford,10499,31.21,262.11,Tables,0.75
